FIPS,county_state,rural-suburban_score,1970_college_completion,1980_college_completion,1990_college_completion,2000_college_completion,2018_college_completion,1970_hs_dropout,1980_hs_dropout,1990_hs_dropout,2000_hs_dropout,2018_hs_dropout
1001,"Autauga, AL",2,6.4,12.1,14.5,18.0,27.7,54.8,40.6,30.0,21.3,11.3
1003,"Baldwin, AL",3,6.5,12.1,16.8,23.1,31.3,59.4,39.7,26.8,18.0,9.7
1005,"Barbour, AL",6,7.3,9.2,11.8,10.9,12.2,68.8,55.1,44.4,35.3,27.0
1007,"Bibb, AL",1,4.2,4.9,4.7,7.1,11.5,73.1,59.5,48.2,36.8,16.8
1009,"Blount, AL",1,2.7,5.3,7.0,9.6,12.6,70.5,53.9,39.5,29.6,19.8
1011,"Bullock, AL",6,5.4,8.8,10.0,7.7,13.3,72.9,59.0,51.0,39.5,24.8
1013,"Butler, AL",6,4.6,8.2,8.0,10.4,16.1,70.5,55.0,47.2,32.2,15.4
1015,"Calhoun, AL",3,7.5,11.0,14.2,15.2,18.0,58.6,43.3,32.6,26.1,15.9
1017,"Chambers, AL",6,4.2,7.4,8.9,9.5,13.2,67.4,54.6,45.7,35.8,18.6
1019,"Cherokee, AL",6,3.8,6.3,6.7,9.7,12.9,69.8,56.8,46.5,36.5,19.8
1021,"Chilton, AL",1,3.0,6.5,7.5,9.9,14.2,73.2,54.0,43.4,33.8,17.8
1023,"Choctaw, AL",9,4.3,7.0,8.5,9.6,13.0,68.2,55.3,45.7,35.0,18.6
1025,"Clarke, AL",7,5.5,8.9,10.8,12.1,12.6,62.7,50.6,39.7,29.2,18.8
1027,"Clay, AL",9,4.3,5.9,7.3,7.8,10.2,66.8,53.4,46.2,34.0,24.5
1029,"Cleburne, AL",8,2.7,5.8,6.5,9.2,13.7,73.1,61.7,50.2,37.1,22.6
1031,"Coffee, AL",4,5.8,12.2,16.5,19.3,23.4,59.9,43.4,32.8,26.8,13.8
1033,"Colbert, AL",3,5.8,9.4,11.5,14.1,18.7,56.3,44.2,34.8,26.7,15.6
