FIPS,County,Total Sector Orgs,Total Employees,Manufacturing Orgs,Mining/Oil Orgs,Professional/Tech Orgs,Food Orgs,Admin Orgs,Agriculture Orgs,Art Orgs,Construction Orgs,Education Orgs,Health Orgs,Information Orgs,Manufacturing Employees,Mining/Oil Employees,Professional/Tech Employees,Food Employees,Admin Emp,Agriculture Emp,Art Employees,Construction Employees,Education Employees,Health Employees,Information Employees
1001,"Autauga County, Alabama",855,11397,2.9,0.4,6.2,11.9,2.9,1.2,1.4,8.3,0.8,10.3,1.4,9.1,0.7,2.2,23.0,2.0,0.8,3.1,4.4,1.5,13.7,0.1
1003,"Baldwin County, Alabama",5507,64354,3.1,0.2,8.4,10.4,5.2,0.2,1.7,10.6,0.9,9.3,1.8,6.7,0.1,3.2,20.1,6.8,0.0,2.5,5.9,2.5,13.1,0.2
1005,"Barbour County, Alabama",461,6980,5.6,0.9,6.7,10.4,1.3,2.4,1.3,5.4,1.1,8.2,2.4,39.1,1.3,1.5,8.4,1.8,1.9,0.3,1.4,0.9,9.4,0.2
1007,"Bibb County, Alabama",293,3519,6.1,0,5.8,6.1,4.1,3.4,1.7,10.2,1.0,8.5,2.4,10.5,0.0,2.1,8.2,3.0,1.9,0.3,21.3,1.2,21.0,0.2
1009,"Blount County, Alabama",706,6673,5.7,0,5.9,6.9,4.2,0.4,1.3,14.0,0.4,8.4,1.7,16.6,0.0,3.6,11.2,3.5,0.2,1.2,8.1,0.2,13.9,0.2
1011,"Bullock County, Alabama",110,2070,2.7,0,4.5,6.4,2.7,9.1,2.7,5.5,0.0,10.0,2.7,33.3,0.0,1.3,3.6,0.1,19.3,0.6,1.9,0.0,19.6,0.1
1013,"Butler County, Alabama",426,6175,4,0,4,9.6,2.3,5.4,1.2,6.8,0.0,10.3,3.5,22.4,0.0,0.8,12.5,6.0,2.7,1.9,4.8,0.0,19.4,0.2
1015,"Calhoun County, Alabama",2291,36341,4.5,0,7.3,9.4,3.9,0.7,0.8,6.0,0.7,12.2,1.7,17.5,0.0,2.8,14.1,6.6,0.2,0.5,2.6,1.8,17.6,0.1
1017,"Chambers County, Alabama",553,6914,4.3,0,6.1,10.5,5.2,3.8,0.0,6.9,0.0,9.8,1.3,30.5,0.0,2.6,11.2,3.8,2.7,0.0,2.9,0.0,11.4,0.1
1019,"Cherokee County, Alabama",358,4413,4.2,0,5.6,11.2,2.2,2.0,0.8,8.1,0.0,9.8,1.1,23.0,0.0,1.3,13.1,12.8,1.7,0.2,1.7,0.0,10.8,0.1
1021,"Chilton County, Alabama",770,7861,5.1,0,4.5,7.7,2.9,1.8,0.4,11.9,0.0,8.2,1.9,24.7,0.0,1.2,11.8,4.6,1.2,0.9,6.8,0.0,10.9,0.2
1023,"Choctaw County, Alabama",259,2972,2.7,0,7.3,8.1,1.5,7.7,0.0,5.4,0.0,8.9,2.7,35.2,0.0,1.6,6.1,0.2,8.5,0.0,7.5,0.0,13.1,0.2
1025,"Clarke County, Alabama",592,6380,3.5,0,4.7,8.3,2.2,4.6,0.8,4.6,0.8,9.3,2.9,21.7,0.0,1.2,10.8,1.5,3.9,0.2,2.0,1.5,14.4,0.3
1027,"Clay County, Alabama",187,3601,5.3,0,5.9,5.3,2.1,7.5,0.0,8.6,0.0,11.2,3.2,59.3,0.0,1.2,3.1,0.5,1.5,0.0,1.3,0.0,15.0,0.2
1029,"Cleburne County, Alabama",172,1681,5.2,0,5.2,6.4,3.5,4.7,0.0,8.7,0.0,7.6,0.0,17.9,0.0,0.7,8.9,4.9,1.4,0.0,27.3,0.0,3.1,0.0
1031,"Coffee County, Alabama",969,13217,4.1,0,6.9,10.4,3.3,0.5,1.3,7.9,0.8,10.5,1.7,24.7,0.0,6.2,12.8,2.7,0.3,0.8,3.1,0.7,14.5,0.1
1033,"Colbert County, Alabama",1206,23654,7.5,0.4,6.2,8.3,3.8,0.3,1.4,8.4,0.4,9.4,1.2,30.6,0.4,1.4,8.2,14.5,0.1,0.6,5.4,0.2,12.9,0.1
1035,"Conecuh County, Alabama",205,2717,6.8,0,4.4,8.3,3.4,10.7,1.5,3.9,0.0,8.8,2.9,19.5,0.0,0.6,10.8,0.6,6.0,0.3,2.1,0.0,17.9,0.2
1037,"Coosa County, Alabama",94,1059,4.3,0,7.4,3.2,3.2,6.4,0.0,10.6,0.0,3.2,0.0,39.8,0.0,2.4,18.0,0.4,6.9,0.0,3.0,0.0,12.1,0.0
1039,"Covington County, Alabama",809,10270,3.6,0,8.4,7.4,3.2,1.1,1.6,8.9,0.0,11.0,1.9,23.4,0.0,3.0,8.5,3.3,0.5,0.7,4.5,0.0,15.7,0.1
1041,"Crenshaw County, Alabama",213,3070,3.3,0,6.1,6.6,2.8,8.0,0.0,8.9,0.0,6.6,1.4,31.7,0.0,1.0,5.3,0.6,4.1,0.0,3.9,0.0,14.9,0.1
1043,"Cullman County, Alabama",1753,24938,5.9,0,5.6,8.6,3.3,0.9,1.1,8.8,0.8,11.6,1.3,20.5,0.0,1.8,12.2,3.9,0.4,0.6,4.1,0.4,15.9,0.1
1045,"Dale County, Alabama",715,11045,3.8,0,11.3,10.5,3.9,1.3,0.7,7.1,1.7,7.4,1.7,5.1,0.0,6.9,10.1,1.7,0.7,0.2,5.5,1.3,13.8,0.1
1047,"Dallas County, Alabama",697,9501,5.7,0,7.5,8.0,2.9,1.4,0.9,6.0,0.9,12.2,2.2,28.0,0.0,2.9,8.2,3.7,0.6,0.5,5.2,1.8,17.7,0.2
1049,"DeKalb County, Alabama",1091,18286,8.3,0,6,8.5,4.0,0.4,0.9,6.6,0.5,12.0,1.6,39.1,0.0,1.7,9.2,5.4,0.2,0.4,2.6,0.5,14.5,0.1
1051,"Elmore County, Alabama",1193,14980,4.6,0,8.5,9.1,3.6,0.8,1.3,11.3,0.5,8.7,1.9,18.6,0.0,2.6,19.7,1.2,0.4,0.6,5.4,2.2,15.1,0.2
1053,"Escambia County, Alabama",754,10173,5.2,0.8,5.7,8.0,2.9,2.5,0.7,8.1,0.0,8.2,2.3,19.8,2.2,1.7,20.7,2.1,1.8,1.0,3.3,0.0,12.2,0.2
1055,"Etowah County, Alabama",1936,30301,4.6,0,6.5,9.5,3.5,0.2,1.0,6.5,0.4,15.1,1.9,17.7,0.0,2.0,12.5,5.8,0.1,1.1,3.6,0.7,24.0,0.1
1057,"Fayette County, Alabama",299,3183,7,2.3,5.4,7.4,0.0,5.4,0.0,5.4,0.0,14.4,3.0,28.3,3.8,1.3,8.0,0.0,3.9,0.0,2.1,0.0,22.6,0.3
1059,"Franklin County, Alabama",515,10652,7.8,0.6,5.6,8.5,1.6,2.5,1.2,7.0,0.0,8.3,1.7,57.9,0.4,1.4,6.9,0.9,0.6,0.1,2.2,0.0,9.2,0.1
1061,"Geneva County, Alabama",393,3855,4.8,0,6.1,7.1,3.8,0.0,0.0,11.5,0.0,8.7,1.8,17.9,0.0,2.2,7.8,2.5,0.0,0.0,4.0,0.0,15.8,0.2
1063,"Greene County, Alabama",97,1379,8.2,0,3.1,4.1,0.0,6.2,3.1,7.2,0.0,11.3,3.1,40.5,0.0,0.6,2.4,0.0,1.6,11.2,2.2,0.0,21.1,0.2
1065,"Hale County, Alabama",192,1982,6.8,0,4.7,8.3,2.1,4.7,0.0,10.9,0.0,8.3,2.6,26.6,0.0,1.2,8.1,0.5,4.6,0.0,8.1,0.0,22.8,0.3
1067,"Henry County, Alabama",287,3418,4.2,0,9.1,7.0,3.8,5.9,1.0,9.1,0.0,7.3,1.0,9.5,0.0,5.0,5.3,2.2,7.1,0.1,3.4,0.0,4.9,0.1
1069,"Houston County, Alabama",2698,43904,3.8,0,7.9,9.6,4.3,0.2,1.3,7.3,1.0,11.7,1.7,10.7,0.0,2.7,12.4,6.1,0.0,1.1,4.0,1.0,21.5,0.1
1071,"Jackson County, Alabama",823,12933,7.4,0,6.8,9.7,3.8,0.0,0.9,6.2,0.0,12.4,1.5,40.1,0.0,1.9,11.0,2.2,0.0,0.1,2.8,0.0,12.3,0.1
1073,"Jefferson County, Alabama",16402,334980,3.3,0.2,11.7,9.2,4.5,0.1,1.4,6.5,1.1,10.8,1.9,7.2,0.2,4.8,9.6,7.5,0.0,1.8,5.5,2.0,20.2,0.1
1075,"Lamar County, Alabama",250,3220,8.8,0,6.8,7.6,1.6,4.4,1.2,6.4,0.0,9.2,2.4,49.2,0.0,1.6,5.0,0.7,2.0,0.2,2.1,0.0,10.8,0.2
1077,"Lauderdale County, Alabama",1979,26317,4.5,0,7.6,8.9,3.3,0.8,1.1,7.0,1.1,12.0,1.6,10.4,0.0,2.6,18.3,2.2,0.4,1.3,6.0,1.5,18.8,0.1
1079,"Lawrence County, Alabama",407,3304,6.4,0,7.6,9.8,3.7,0.0,0.7,7.9,0.0,8.4,1.7,6.2,0.0,3.8,13.9,1.9,0.0,0.5,6.6,0.0,22.7,0.2
1081,"Lee County, Alabama",2867,47911,4.4,0,9.5,13.5,6.0,0.5,0.8,8.7,1.0,9.0,1.4,15.5,0.0,3.3,17.4,7.3,0.2,1.2,5.5,0.8,13.9,0.1
1083,"Limestone County, Alabama",1406,17576,5,0.2,9.5,7.7,4.6,0.0,0.9,11.1,0.8,10.5,1.6,21.0,0.1,5.0,12.0,2.5,0.0,0.5,7.2,1.1,14.1,0.1
1085,"Lowndes County, Alabama",109,1883,11,0,4.6,0.0,0.0,4.6,2.8,11.0,0.0,6.4,0.0,44.5,0.0,0.6,0.0,0.0,3.1,1.2,11.2,0.0,8.9,0.0
1087,"Macon County, Alabama",200,4877,2.5,0,5,10.0,4.5,0.0,0.0,7.0,0.0,11.0,1.5,7.7,0.0,0.6,7.5,5.7,0.0,0.0,1.9,0.0,32.8,0.1
1089,"Madison County, Alabama",8459,167914,3.2,0,16.9,9.4,4.9,0.1,1.4,6.5,1.3,12.2,2.0,9.7,0.0,24.1,10.4,5.3,0.0,1.9,3.5,2.0,15.7,0.1
1091,"Marengo County, Alabama",460,6180,4.1,0,3.9,8.9,3.0,4.3,1.5,6.1,0.7,11.3,1.7,24.9,0.0,1.3,7.4,7.7,3.6,0.5,5.7,0.7,17.1,0.1
1093,"Marion County, Alabama",559,7812,6.1,0,4.7,10.4,2.5,2.0,1.3,2.5,0.5,15.6,1.4,35.7,0.0,1.0,9.2,5.4,0.9,0.1,0.9,0.1,13.3,0.1
1095,"Marshall County, Alabama",1857,31948,6.2,0,6.8,10.4,2.8,0.0,1.4,7.2,0.6,10.2,1.5,33.4,0.0,2.3,10.6,3.7,0.0,0.6,3.8,0.2,12.9,0.1
1097,"Mobile County, Alabama",8762,156406,3.6,0.2,10.1,8.2,5.1,0.5,1.1,7.8,1.0,8.9,1.7,10.1,0.1,6.4,10.2,9.8,0.3,1.1,7.6,2.2,13.8,0.1
1099,"Monroe County, Alabama",394,5319,4.8,0,4.6,5.6,3.3,7.9,0.0,4.1,0.8,7.4,2.5,25.3,0.0,0.8,5.7,1.3,4.1,0.0,3.4,1.3,13.6,0.2
1101,"Montgomery County, Alabama",5515,104325,3,0.1,10.8,9.7,5.2,0.2,1.1,5.4,1.2,11.8,2.1,12.1,0.0,5.7,11.6,9.0,0.1,1.2,4.0,2.3,17.2,0.1
1103,"Morgan County, Alabama",2587,45773,6.2,0.2,7.6,7.6,4.5,0.2,1.0,8.8,0.5,13.3,1.4,29.0,0.1,5.1,9.2,4.5,0.0,0.6,7.8,0.3,13.3,0.1
1105,"Perry County, Alabama",117,1520,4.3,0,5.1,11.1,4.3,3.4,0.0,8.5,2.6,5.1,0.0,25.8,0.0,1.1,8.0,1.3,1.0,0.0,5.1,19.7,9.5,0.0
