FIPS,2011_unemployment,2019_unemployment,unemployment_change,median_household,income_percent_of_state
1001,8.4,2.7,-5.7,"$59,338 ",119.00%
1003,9,2.7,-6.3,"$57,588 ",115.50%
1005,11.5,3.8,-7.7,"$34,382 ",68.90%
1007,10.5,3.1,-7.4,"$46,064 ",92.30%
1009,8.7,2.7,-6,"$50,412 ",101.10%
1011,11.6,3.6,-8,"$29,267 ",58.70%
1013,12.5,3.6,-8.9,"$37,365 ",74.90%
1015,10.3,3.5,-6.8,"$45,400 ",91.00%
1017,12,2.9,-9.1,"$39,917 ",80.00%
1019,9.7,2.9,-6.8,"$42,132 ",84.50%
1021,9.1,2.7,-6.4,"$47,547 ",95.30%
1023,13.1,4.7,-8.4,"$39,907 ",80.00%
1025,18.8,5.8,-13,"$40,741 ",81.70%
1027,11.8,3,-8.8,"$39,201 ",78.60%
1029,9.7,3.2,-6.5,"$46,495 ",93.20%
1031,8.1,2.9,-5.2,"$55,122 ",110.50%
1033,10.2,3.7,-6.5,"$49,055 ",98.30%
1035,15.2,4,-11.2,"$32,613 ",65.40%
1037,12.5,3,-9.5,"$42,423 ",85.00%
1039,9.8,3.4,-6.4,"$40,203 ",80.60%
1041,9.9,2.8,-7.1,"$39,057 ",78.30%
1043,9.5,2.6,-6.9,"$45,796 ",91.80%
1045,8.3,3.1,-5.2,"$45,309 ",90.80%
1047,15.1,5.5,-9.6,"$34,035 ",68.20%
1049,11.8,2.8,-9,"$39,491 ",79.20%
1051,8.4,2.6,-5.8,"$60,367 ",121.00%
1053,10.8,3.5,-7.3,"$38,418 ",77.00%
1055,10,3.3,-6.7,"$44,903 ",90.00%
1057,11.1,3.1,-8,"$39,254 ",78.70%
1059,9.6,2.8,-6.8,"$39,388 ",79.00%
1061,9.2,2.9,-6.3,"$37,823 ",75.80%
1063,17.3,5.6,-11.7,"$28,524 ",57.20%
1065,13.8,3.9,-9.9,"$34,724 ",69.60%
1067,9.7,3.6,-6.1,"$46,027 ",92.30%
1069,8.6,3,-5.6,"$47,993 ",96.20%
1071,10.3,3.3,-7,"$41,929 ",84.10%
1073,9.3,2.9,-6.4,"$55,013 ",110.30%
1075,9.7,3.1,-6.6,"$40,936 ",82.10%
1077,9.1,3.3,-5.8,"$48,707 ",97.60%
1079,10.9,3.1,-7.8,"$43,909 ",88.00%
1081,8.1,2.7,-5.4,"$48,937 ",98.10%
1083,8.6,2.6,-6,"$64,863 ",130.00%
1085,17.7,5.7,-12,"$33,973 ",68.10%
1087,14,4.3,-9.7,"$32,495 ",65.10%
1089,8.3,2.5,-5.8,"$63,755 ",127.80%
1091,12.6,3.5,-9.1,"$37,733 ",75.60%
1093,11.2,3.4,-7.8,"$37,887 ",76.00%
1095,9.4,2.5,-6.9,"$46,233 ",92.70%
1097,10.8,3.7,-7.1,"$43,598 ",87.40%
1099,15.7,4.9,-10.8,"$39,556 ",79.30%
1101,9.7,3.1,-6.6,"$49,640 ",99.50%
1103,9.4,2.6,-6.8,"$52,797 ",105.80%
1105,16.5,5.2,-11.3,"$26,814 ",53.80%
1107,12,3.5,-8.5,"$37,586 ",75.40%
1109,8.9,3.3,-5.6,"$37,259 ",74.70%
1111,11.4,3,-8.4,"$40,546 ",81.30%
1113,10.3,2.9,-7.4,"$39,104 ",78.40%
1115,8.8,2.7,-6.1,"$57,284 ",114.80%
